Publish Date,Publisher,Title,Written by
2010 Sep,Neuroimage,The influence of restricted orientation rearing on map structure in primary visual cortex.,Goodhill GJ et al.
2010 Mar 17,Neuroscience,Differential regulation of synapsin phosphorylation by monocular deprivation in juveniles and adults.,Quinlan EM et al.
2009 Dec,Neurol Med Chir (Tokyo),Blurred vision with acute hypertension indicating hypertensive brainstem encephalopathy-case report-.,Okuma Y et al.
2010 Aug,Cereb Cortex,Sensitivity of human visual and vestibular cortical regions to egomotion-compatible visual stimulation.,Smith AT et al.
2010 May 15,Biol Psychiatry,Lateral prefrontal cortex mediates the cognitive modification of attentional bias.,Harmer CJ et al.
2010 Mar 31,Neuroscience,Anatomical changes in the primary visual cortex of the congenitally blind Crx-/- mouse.,Bourne JA et al.
2010 Mar 15,J Neurosci Methods,Comparison of visually evoked local field potentials in isolated turtle brain: patterned versus blank stimulation.,Gao JH et al.
2010 Mar 4,Brain Res,Effects of age and retinal degeneration on the expression of proprotein convertases in the visual cortex.,Sucic JF et al.
2010 Apr,Diabetologia,"Evidence for neuroendocrine function of a unique splicing form of TCF7L2 in human brain, islets and gut.",Hall JL et al.
2010 Feb,Radiologe,[Modern neuroimaging of brain plasticity].,Seidel S et al.
2010 Feb,Neurosci Behav Physiol,Evoked potentials in the rabbit visual cortex reflect changes in line orientation and intensity.,Ruderman GL et al.
2010 Mar,J Neurophysiol,The functional anatomy of a perceptual decision in the human brain.,D'Esposito M et al.
2010 Feb,J Neurophysiol,Tuning perceptual competition.,Beste C et al.
2010 Mar,J Neurophysiol,fMRI-adaptation studies of viewpoint tuning in the extrastriate and fusiform body areas.,Downing PE et al.
2010 Mar,J Neurophysiol,Temperature modulation of slow and fast cortical rhythms.,Sanchez-Vives MV et al.
2010 Jan,Radiology,Alzheimer disease: functional abnormalities in the dorsal visual pathway.,Hampel H et al.
2010 Apr,J Cereb Blood Flow Metab,Early nonischemic oxidative metabolic dysfunction leads to chronic brain atrophy in traumatic brain injury.,Vespa PM et al.
2010 Feb,Cerebrovasc Dis,A simultaneous EEG and transcranial Doppler technique to investigate the neurovascular coupling in the human visual cortex.,Kaps M et al.
2010 May,Neural Comput,Representation sharpening can explain perceptual priming.,Sejnowski TJ et al.
2010 Jan,J Magn Reson Imaging,Diurnal stability of gamma-aminobutyric acid concentration in visual and sensorimotor cortex.,Edden RA et al.
2009 Dec 22,PLoS One,Beyond shape: how you learn about objects affects how they are represented in visual cortex.,Gauthier I et al.
2009 Dec,PLoS Biol,Distributed fading memory for stimulus properties in the primary visual cortex.,Maass W et al.
2010 Aug,Cereb Cortex,Correlated low-frequency BOLD fluctuations in the resting human brain are modulated by recent experience in category-preferential visual regions.,Schacter DL et al.
2010 Sep,Neuroimage,Understanding the relationships between spike rate and delta/gamma frequency bands of LFPs and EEGs using a local cortical network model.,Panzeri S et al.
2010 Apr 15,Neuroimage,An algebra for the analysis of object encoding.,Likova LT et al.
2010 Apr,Brain Dev,Bilateral occipital cortical dysplasia and white matter T2 hyperintensity with mild non-specific myopathy: two sibling cases.,Nonaka I et al.
2011 Jul,Eur J Radiol,Brain metabolite changes in alcoholism: localized proton magnetic resonance spectroscopy study of the occipital lobe.,Khushu S et al.
2009 Aug,Zhonghua Yan Ke Za Zhi,[Developmental changes of spontaneous excitatory postsynaptic currents mediated by AMPA receptor in layer 2 and 3 pyramidal neurons of rat visual cortex].,Zhao KX et al.
2010,Adv Exp Med Biol,Neural accumulator models of decision making in eye movements.,Cutsuridis V et al.
2010 Apr,Exp Brain Res,Cortico-geniculate feedback linking the visual fields surrounding the blind spot in the cat.,Komatsu H et al.
2009 Dec,PLoS Comput Biol,Adaptive gain modulation in V1 explains contextual modifications during bisection learning.,Senn W et al.
2010 Aug,Cereb Cortex,Coding and binding of color and form in visual cortex.,Bartels A et al.
2010 Sep,Cereb Cortex,Alterations in frontal lobe tracts and corpus callosum in young children with autism spectrum disorder.,Chugani DC et al.
2010 Mar,J Neurophysiol,Changes in the response rate and response variability of area V4 neurons during the preparation of saccadic eye movements.,Moore T et al.
2010 Feb,Optom Vis Sci,Early visual-evoked potential acuity and future behavioral acuity in cortical visual impairment.,Haegerstrom-Portnoy G et al.
2009 Dec 16,J Neurosci,Cooperative and competitive interactions facilitate stereo computations in macaque primary visual cortex.,Lee TS et al.
2009 Dec 16,J Neurosci,Orientation discrimination performance is predicted by GABA concentration and gamma oscillation frequency in human primary visual cortex.,Singh KD et al.
2010 Mar,J Pain,Tonic pain abolishes cortical habituation of visual evoked potentials in healthy subjects.,Pierelli F et al.
2009,Dev Disabil Res Rev,Turner syndrome: neuroimaging findings: structural and functional.,Murphy D et al.
2010 Mar 15,Mov Disord,Photophobia in essential blepharospasm--a positron emission tomographic study.,Ishii K et al.
2010 Feb,Cogn Process,Occipital gamma activation during Vipassana meditation.,Polich J et al.
2010 Jul,Childs Nerv Syst,Surgery for extratemporal nonlesional epilepsy in children: a meta-analysis.,Cohen-Gadol AA et al.
2010 Jun,Acta Neurochir (Wien),Reconstruction of vein of Labbé in temporo-occipital meningioma invading transverse sinus: technical report.,Sindou M et al.
2010 Apr,J Headache Pain,Lack of cold pressor test-induced effect on visual-evoked potentials in migraine.,Pierelli F et al.
2010 Feb,Radiologe,[Functional magnetic resonance imaging with ultra-high fields].,Moser E et al.
2010,Comput Intell Neurosci,Exploring cortical attentional system by using fMRI during a Continuous Perfomance Test.,Bianchi AM et al.
2009 Nov,Rinsho Ketsueki,Thrombotic thrombocytopenic purpura presenting with reversible posterior leukoencephalopathy syndrome.,SAKURAI M et al.
2009 Dec 29,Proc Natl Acad Sci U S A,Cross-modal cueing of attention alters appearance and early cortical processing of visual stimuli.,Hillyard SA et al.
2010 Jan 5,Proc Natl Acad Sci U S A,A backward progression of attentional effects in the ventral stream.,Desimone R et al.
2009 Dec 9,J Neurosci,Four projection streams from primate V1 to the cytochrome oxidase stripes of V2.,Angelucci A et al.
2010 Mar,Clin Neurophysiol,Independent component approach to the analysis of EEG recordings at early stages of depressive disorders.,Kropotov JD et al.
2009 Dec 10,Neuron,Rapid axonal sprouting and pruning accompany functional reorganization in primary visual cortex.,Gilbert CD et al.
2009 Dec 10,Neuron,Functional masking of deprived eye responses by callosal input during ocular dominance plasticity.,Caleo M et al.
2010 Mar,Clin Neurophysiol,Degeneration/re-organization coupling in retinitis pigmentosa.,Bisti S et al.
2010 Jan,Optometry,Thwarted at every turn.,Barry SR et al.
2010 Feb 15,Neuroimage,Neural processing of asynchronous audiovisual speech perception.,James TW et al.
2010 Mar 15,Toxicol Appl Pharmacol,The effects of acute alcohol exposure on the response properties of neurons in visual cortex area 17 of cats.,Zhou Y et al.
2010 Mar 1,Biol Psychiatry,Reduced density of calbindin immunoreactive GABAergic neurons in the occipital cortex in major depression: relevance to neuroimaging studies.,Rajkowska G et al.
2010 Feb 8,Brain Res,Attention inhibition of early cortical activation to fearful faces.,Taylor MJ et al.
2009 Dec 14,BMC Neurosci,Adaptive behavior of neighboring neurons during adaptation-induced plasticity of orientation tuning in VI.,Molotchnikoff S et al.
2009,Binocul Vis Strabismus Q,Is one eye better than two in strabismus? Or does the misaligned amblyopic eye interfere with binocular vision? A preliminary functional MRI study.,Gabriel J et al.
2010 Jul,Hum Brain Mapp,3D mapping of brain differences in native signing congenitally and prelingually deaf subjects.,Thompson PM et al.
2010 Jul,Hum Brain Mapp,Identifying spatially overlapping local cortical networks with MEG.,Barnes G et al.
2009 Dec,Arch Gen Psychiatry,Functional neuroanatomy of visual masking deficits in schizophrenia.,Glahn DC et al.
2010 Apr,Neurocase,Hanja (Ideogram) alexia and agraphia in patients with semantic dementia.,Na DL et al.
2010 Jan 1,Science,Reproducibility distinguishes conscious from nonconscious neural representations.,Cohen JD et al.
2009,Annu Int Conf IEEE Eng Med Biol Soc,Detrended Fluctuation Analysis of EEG in detecting cross-modal plasticity in brain for blind.,Ravindran G et al.
2009,Annu Int Conf IEEE Eng Med Biol Soc,Influence of white matter anisotropy on EEG source localization: an experimental study.,He B et al.
2009,Annu Int Conf IEEE Eng Med Biol Soc,A statistical model for multiphoton calcium imaging of the brain.,Brown EN et al.
2009,Annu Int Conf IEEE Eng Med Biol Soc,Predicting perceptual suppression from local field potential in visual cortex.,Liang H et al.
2009,Annu Int Conf IEEE Eng Med Biol Soc,Visual acuity classification using single trial visual evoked potentials.,Abootalebi V et al.
2009,Annu Int Conf IEEE Eng Med Biol Soc,Detection of spontaneous class-specific visual stimuli with high temporal accuracy in human electrocorticography.,Rao RP et al.
2009,Annu Int Conf IEEE Eng Med Biol Soc,A half-field stimulation pattern for SSVEP-based brain-computer interface.,Gao S et al.
2009,Annu Int Conf IEEE Eng Med Biol Soc,P300-based brain computer interface experimental setup.,Torres R et al.
2009,Annu Int Conf IEEE Eng Med Biol Soc,An independent brain-computer interface based on covert shifts of non-spatial visual attention.,Maye A et al.
2009,Annu Int Conf IEEE Eng Med Biol Soc,Mapping the human brain at rest with diffuse optical tomography.,Culver JP et al.
2009,Annu Int Conf IEEE Eng Med Biol Soc,Visual gate for brain-computer interfaces.,Correia JH et al.
2010 Apr,Prog Neurobiol,Steady-state visually evoked potentials: focus on essential paradigms and future perspectives.,Cichocki A et al.
2010 Jan 30,Psychiatry Res,Cannabis use and callosal white matter structure and integrity in recent-onset schizophrenia.,de Haan L et al.
2010 Apr,Brain Cogn,Spatial working memory effects in early visual cortex.,Theeuwes J et al.
2009 Nov,Can J Neurol Sci,MRI changes with acute shingles.,Bernstein M et al.
2010 Jan 30,Psychiatry Res,Voxel-based analyses of gray/white matter volume and diffusion tensor data in major depression.,Ohtomo K et al.
2010 Mar,World J Biol Psychiatry,Carbon dioxide-induced panic attacks and quantitative electroencephalogram in panic disorder patients.,Nardi AE et al.
2009 Nov,PLoS Comput Biol,A high-throughput screening approach to discovering good forms of biologically inspired visual representation.,Cox DD et al.
2009 Nov,PLoS Comput Biol,Attention increases the temporal precision of conscious perception: verifying the Neural-ST Model.,Bowman H et al.
2009 Dec 2,J Neurosci,The direct relationship between inhibitory currents and local field potentials.,Trevelyan AJ et al.
2009 Dec 2,J Neurosci,Plasticity between neuronal pairs in layer 4 of visual cortex varies with synapse state.,Friedlander MJ et al.
2009 Dec 2,J Neurosci,Spatially global representations in human primary visual cortex during working memory maintenance.,Awh E et al.
2009 Dec 2,J Neurosci,Influence and limitations of popout in the selection of salient visual stimuli by area V4 neurons.,Moore T et al.
2010 Jul,J Neurol Neurosurg Psychiatry,The progression of regional atrophy in premanifest and early Huntington's disease: a longitudinal voxel-based morphometry study.,Tabrizi SJ et al.
2010 Mar,Conscious Cogn,Visual experiences in the blind induced by an auditory sensory substitution device.,Meijer P et al.
2010 Jan,Nat Rev Neurosci,Advances in visual perceptual learning and plasticity.,Watanabe T et al.
2009 Dec,J Clin Neurophysiol,EEG power spectra at early stages of depressive disorders.,Kropotov JD et al.
2009,Front Hum Neurosci,The representation of object distance: evidence from neuroimaging and neuropsychology.,Olson IR et al.
2010 Feb 15,Neuroimage,Continuous mapping of the cortical object vision pathway using traveling waves in object space.,Op de Beeck HP et al.
2009 Nov 30,BMC Neurosci,Coding of shape from shading in area V4 of the macaque monkey.,Girard P et al.
2010 Jan,Nat Neurosci,Intervening inhibition underlies simple-cell receptive field structure in visual cortex.,Tao HW et al.
2009 Nov 25,Neuron,"Neural ""ignition"": enhanced activation linked to perceptual awareness in human ventral stream visual cortex.",Malach R et al.
2009 Nov 25,Neuron,Toward unmasking the dynamics of visual perception.,Kreiman G et al.
2010 Jan,Trends Cogn Sci,The neural basis of visual object learning.,Baker CI et al.
2010 Feb 15,Neuroimage,"Visual gamma oscillations and evoked responses: variability, repeatability and structural MRI correlates.",Jones DK et al.
2009 Dec,Obstet Gynecol Clin North Am,"Sleep, hormones, and memory.",Wagner U et al.
2009 Dec,Anat Rec (Hoboken),Guanosine-induced synaptogenesis in the adult brain in vivo.,Martínez-Millán L et al.
2010 Jan-Mar,J Physiol Paris,A unified and quantitative network model for spatial attention in area V4.,José JV et al.
2010 May-Sep,J Physiol Paris,Should spikes be treated with equal weightings in the generation of spectro-temporal receptive fields?,Poon PW et al.
2010 Jan 6,Neuroreport,Cortical development of the visual system of the rat.,Guillemot JP et al.
2009,Dement Geriatr Cogn Disord,Patterns of cortical thickness according to APOE genotype in Alzheimer's disease.,Barnes J et al.
2009 Nov 25,J Neurosci,The timing of emotional discrimination in human amygdala and ventral visual cortex.,Keil A et al.
2010 Feb,J Neurophysiol,"Role of supplementary eye field in saccade initiation: executive, not direct, control.",Schall JD et al.
2010 Aug,Cereb Cortex,Top-down activation of fusiform cortex without seeing faces in prosopagnosia.,Vuilleumier P et al.
2009 Nov,No Shinkei Geka,[A case of brainstem variant of reversible posterior leukoencephalopathy syndrome].,Saito H et al.
2010 Apr,Neurocase,Deficits in the left inferior longitudinal fasciculus results in impairments in object naming.,Yagi K et al.
2009 Dec,J Fr Ophtalmol,[Transient binocular visual loss: a diagnostic approach].,Vighetto A et al.
2010 Mar,Neural Netw,A neural model of the temporal dynamics of figure-ground segregation in motion perception.,Neumann H et al.
2010 Feb 15,J Neurosci Methods,Use of fNIRS to assess resting state functional connectivity.,Zhu CZ et al.
2009 Dec,Eur J Neurosci,The strength of anticipatory spatial biasing predicts target discrimination at attended locations: a high-density EEG study.,Foxe JJ et al.
2010 Sep,J Cogn Neurosci,Modulation of face processing by emotional expression and gaze direction during intracranial recordings in right fusiform cortex.,Vuilleumier P et al.
2009 Sep,Rinsho Shinkeigaku,[Acutely developed reversible posterior leukoencephalopathy syndrome following a prompt physical activity to avoid a traffic accident: a case report].,Okamoto K et al.
2010 Apr,Neurocase,A case of persistent visual hallucinations of faces following LSD abuse: a functional Magnetic Resonance Imaging study.,Barton JJ et al.
2010 Feb 3,Neuroscience,Ca2+-permeable AMPA receptors mediate induction of test pulse depression of naive synapses in rat visual cortical slices at early postnatal stage.,Han TZ et al.
2010 Mar,Neural Comput,Autonomous development of vergence control driven by disparity energy neuron populations.,Shi BE et al.
2010 Nov,J Cogn Neurosci,Defining the units of competition: influences of perceptual organization on competitive interactions in human visual cortex.,Kastner S et al.
2010 Dec,J Cogn Neurosci,Human brain dynamics accompanying use of egocentric and allocentric reference frames during navigation.,Makeig S et al.
2010 Feb,Neurol Sci,Dide-Botcazo syndrome due to bilateral occlusion of posterior cerebral artery.,Moretto G et al.
2010 Jan,J Neurophysiol,Selective involvement of superior frontal cortex during working memory for shapes.,Courtney SM et al.
2010 Feb 15,Neuroimage,"Distributed subordinate specificity for bodies, faces, and buildings in human ventral visual cortex.",Wagemans J et al.
2009,Int J Neurosci,Global motion stimuli and form-from-motion stimuli: common characteristics and differential activation patterns.,Lepore F et al.
2010 Apr,Neural Comput,A continuous entropy rate estimator for spike trains using a K-means-based context tree.,Reeke GN et al.
2009 Nov,J Altern Complement Med,Effects of scalp acupuncture versus upper and lower limb acupuncture on signal activation of blood oxygen level dependent (BOLD) fMRI of the brain and somatosensory cortex.,Park JM et al.
2009,J Anesth,Postoperative sialadenitis following retromastoid suboccipital craniectomy for posterior fossa tumor.,Chatterjee N et al.
2009,Network,Discrimination of complex form by simple oscillator networks.,Maddess T et al.
2009,Network,A theory of the influence of eye movements on the refinement of direction selectivity in the cat's primary visual cortex.,Rucci M et al.
2009 Dec 9,Neuroreport,Automatic change detection during the performance of a continuous visual task.,Butler S et al.
2010 Mar,Am J Forensic Med Pathol,An asymptomatic Moyamoya disease: autopsy case and literature review.,He M et al.
2009 Nov,Klin Monbl Augenheilkd,[Rehabilitation of lesions in the visual pathways].,Trauzettel-Klosinski S et al.
2010 Mar,J Neurol,Posterior cortical atrophy with [11C] Pittsburgh compound B accumulation in the primary visual cortex.,Hattori N et al.
2009 Dec,Nat Neurosci,Attention improves performance primarily by reducing interneuronal correlations.,Maunsell JH et al.
2010 Feb,Brain,Absolute diffusivities define the landscape of white matter degeneration in Alzheimer's disease.,Nestor PJ et al.
2009 Dec,Curr Opin Neurobiol,Saccade control after V1 lesion revisited.,Yoshida M et al.
2010 Feb,Epilepsy Res,Long term prognosis of symptomatic occipital lobe epilepsy secondary to neonatal hypoglycemia.,Ogura K et al.
2010 Feb 15,Neuroimage,K-space reconstruction of magnetic resonance inverse imaging (K-InI) of human visuomotor systems.,Belliveau JW et al.
2009 Nov 12,Neuron,The leading sense: supramodal control of neurophysiological context by attention.,Schroeder CE et al.
2009 Nov 12,Neuron,Delta-catenin is required for the maintenance of neural structure and function in mature cortex in vivo.,Trachtenberg JT et al.
2009 Nov 12,Neuron,Phase resetting as a mechanism for supramodal attentional control.,Kayser C et al.
2009 Nov,Eur J Neurosci,Disruptions to human speed perception induced by motion adaptation and transcranial magnetic stimulation.,Morland AB et al.
2009 Dec,J Nucl Med,Changes in cerebral blood flow detected by SPECT in type 1 and type 2 diabetic patients.,Varga J et al.
2010 Jan-Mar,J Physiol Paris,Interactions of motion and form in visual cortex - A neural model.,Neumann H et al.
2009 Nov 12,Nature,Bidirectional plasticity in fast-spiking GABA circuits by visual experience.,Hensch TK et al.
2009 Nov 11,J Neurosci,Representation of cross-frequency spatial phase relationships in human visual cortex.,Vanni S et al.
2010 Feb,J Neurophysiol,Spatial and temporal features of synaptic to discharge receptive field transformation in cat area 17.,McCormick DA et al.
2009 Dec 8,ASN Neuro,Dynamic imaging of cannabinoid receptor 1 vesicular trafficking in cultured astrocytes.,Parpura V et al.
2010 Jan,Exp Brain Res,Memory-guided saccade processing in visual form agnosia (patient DF).,Harvey M et al.
2009 Dec,Nat Rev Neurosci,Plasticity and stability of visual field maps in adult primary visual cortex.,Smirnakis SM et al.
2009 Nov,Neurologist,"The ""ivy sign"" of adult moyamoya disease.",Degraba T et al.
2010 Jan,Clin Neurophysiol,When is electrical cortical stimulation more likely to produce afterdischarges?,Lesser RP et al.
2009,Int Rev Neurobiol,Heritability of structural brain traits an endophenotype approach to deconstruct schizophrenia.,van Os J et al.
2010 Feb,Neurobiol Dis,Early Parkinson's disease: longitudinal changes in brain activity during sequence learning.,Eidelberg D et al.
2009 Oct 31,Mol Vis,Astrocyte and microglial activation in the lateral geniculate nucleus and visual cortex of glaucomatous and optic nerve transected primates.,Matsubara J et al.
2010 Jan 15,J Neurol Sci,Alexia and agraphia with lesions of the angular and supramarginal gyri: evidence for the disruption of sequential processing.,Mannen T et al.
2009 Dec 1,Curr Biol,Effects of orientation-specific visual deprivation induced with altered reality.,Engel SA et al.
2009 Nov,Eur J Neurosci,Early processing in the human lateral occipital complex is highly responsive to illusory contours but not to salient regions.,Foxe JJ et al.
2009 Nov,PLoS Comput Biol,Robust models for optic flow coding in natural scenes inspired by insect biology.,O'Carroll DC et al.
2009,Neuropsychobiology,Investigating the role of serotonin in visual orientation processing using an 'ecstasy' (MDMA)-based research model.,Brown J et al.
2009 Dec,Brain,Imaging studies in congenital anophthalmia reveal preservation of brain architecture in 'visual' cortex.,Watkins K et al.
2010 Feb 3,Neuroscience,Stabilization of visual responses through cholinergic activation.,Munk MH et al.
2009,Am J Phys Anthropol,The natural endocast of Taung (Australopithecus africanus): insights from the unpublished papers of Raymond Arthur Dart.,Falk D et al.
2010 May,Hum Brain Mapp,Influence of coherence between multiple cortical columns on alpha rhythm: a computational modeling study.,Okada M et al.
2009 Nov 4,J Neurosci,Decoding and reconstructing color from responses in human visual cortex.,Heeger DJ et al.
2009 Nov 4,J Neurosci,Stimulus-induced and state-dependent sustained gamma activity is tightly coupled to the hemodynamic response in humans.,Obrig H et al.
2009 Nov 4,J Neurosci,Selective targeting of the dendrites of corticothalamic cells by thalamic afferents in area 17 of the cat.,Martin KA et al.
2009 Nov 17,Proc Natl Acad Sci U S A,Visually evoked activity in cortical cells imaged in freely moving animals.,Kerr JN et al.
2010 Jan,J Neurophysiol,Hierarchical Bayesian modeling and Markov chain Monte Carlo sampling for tuning-curve analysis.,Körding KP et al.
2009 Nov 3,Curr Biol,Visual maps: To merge or not to merge.,Brewer AA et al.
2010 Mar,J Neurol,Airhead with auras.,Bergshoeff EV et al.
2010 Mar,Exp Brain Res,Collinear facilitation is independent of receptive-field expansion at low contrast.,Ishida Y et al.
2009 Oct,J Vet Med Sci,18F-fluorodeoxyglucose positron emission tomography and magnetic resonance imaging findings of primary intracranial histiocytic sarcoma in a dog.,Park HM et al.
2009 Nov 17,Proc Natl Acad Sci U S A,Shape-specific preparatory activity mediates attention to targets in human visual cortex.,Duncan J et al.
2009 Dec,Brain,Voxel-based morphometry reveals reduced grey matter volume in the temporal cortex of developmental prosopagnosics.,Duchaine B et al.
2009,Tuberk Biolezni Legkih,[A case of rare localizations of tuberculosis in a child].,Elufimova VF et al.
2010 Jan 27,Neuroreport,Time compression increases with eccentricity: a magnocellular property.,Pins D et al.
2010 Jan 20,J Clin Oncol,Bilateral occipital lobe invasion in chronic lymphocytic leukemia.,Ishida A et al.
2009 Nov,Pediatr Rev,Cortical visual impairment.,Ospina LH et al.
2010 Jan,Neuropsychologia,Crossmodal recruitment of primary visual cortex following brief exposure to bimodal audiovisual stimuli.,Zatorre RJ et al.
2009 Nov-Dec,Am J Otolaryngol,Brain activation in patients with idiopathic hyperacusis.,Liu TC et al.
2010 Jul,Cereb Cortex,Projection from visual areas V2 and prostriata to caudal auditory cortex in the monkey.,Smiley JF et al.
2010 Jul,Cereb Cortex,The temporal dynamics of the Müller-Lyer illusion.,Fink GR et al.
2010 Mar,Invest Ophthalmol Vis Sci,Decreased gray matter concentration in the lateral geniculate nuclei in human amblyopes.,Hess RF et al.
2009 Oct 29,Neuron,Frequency-band coupling in surface EEG reflects spiking activity in monkey visual cortex.,Logothetis NK et al.
2009 Sep,Australas Phys Eng Sci Med,Improved observer dependent perception of weak edges when scanning an image in real time indicated by introducing 1/f noise into the primary visual cortex V1. Theory and experimental support.,Thornton BS et al.
2009 Oct 28,J Neurosci,Pattern motion selectivity of spiking outputs and local field potentials in macaque visual cortex.,Pack CC et al.
2010 Jan,J Neurophysiol,Behavioral time course of microstimulation in cortical area MT.,Cook EP et al.
2010 May,Neural Netw,Neural network model for completing occluded contours.,Fukushima K et al.
2010 Jan-Feb,Pain Pract,Occipital nerve stimulator lead pathway length changes with volunteer movement: an in vitro study.,Noble BM et al.
2009,Int J Neurosci,Positron emission tomography correlates of visually-scored electroencephalographic waveforms during non-Rapid Eye Movement sleep.,Braun AR et al.
2010 Dec,J Comput Neurosci,LFP spectral peaks in V1 cortex: network resonance and cortico-cortical feedback.,Shapley R et al.
2009 Nov 25,Neuroreport,Memory for color reactivates color processing region.,Slotnick SD et al.
2009 Dec,Brain,"Cerebrospinal hypocretin, daytime sleepiness and sleep architecture in Parkinson's disease dementia.",Marti MJ et al.
2009 Nov,J Magn Reson Imaging,Magnetic resonance T2-relaxometry and 2D L-correlated spectroscopy in patients with minimal hepatic encephalopathy.,Thomas MA et al.
2009 Nov,Nat Neurosci,Frontal eye field neurons signal changes in decision criteria.,Cassanello C et al.
2009 Dec,J Neural Eng,Development of a micromachined epiretinal vision prosthesis.,Stieglitz T et al.
2010 Apr,Invest Ophthalmol Vis Sci,Experience-dependent regulation of NMDA receptor subunit composition and phosphorylation in the retina and visual cortex.,Mitsacos A et al.
2010 Feb,Med Image Anal,A nonlinear identification method to study effective connectivity in functional MRI.,Benali H et al.
2010 Jan,Neuropsychologia,Greater superior than inferior parietal lobule activation with increasing rotation angle during mental rotation: an fMRI study.,Egan GF et al.
2009 Oct,Ann Neurol,Historical perspective: neurological advances from studies of war injuries and illnesses.,Lanska DJ et al.
2009 Oct 25,Sheng Li Xue Bao,[Developmental regulation of long term potentiation at layer II/III to II/III synapses of rat visual cortex].,Shi J et al.
2010 Jun,Cereb Cortex,Spinogenesis and pruning from early visual onset to adulthood: an intracellular injection study of layer III pyramidal cells in the ventral visual cortical pathway of the macaque monkey.,Fujita I et al.
2009 Dec 20,J Comp Neurol,Organization of the posterior parietal cortex in galagos: II. Ipsilateral cortical connections of physiologically identified zones within anterior sensorimotor region.,Kaas JH et al.
2009,Stereotact Funct Neurosurg,Parasagittal transinsular electrodes for stereo-EEG in temporal and insular lobe epilepsies.,Coubes P et al.
2009 Nov,J Pediatr,Mollaret meningitis associated with occipital dermal sinus.,Kubo T et al.
2009 Nov,Dev Sci,Differential development of selectivity for faces and bodies in the fusiform gyrus.,Eliez S et al.
2010 Feb,NMR Biomed,Metabolic correlatives of brain activity in a FOS epilepsy patient.,Giove F et al.
2010 Apr,J Psychiatr Res,Disturbed functional connectivity within brain networks subserving domain-specific subcomponents of working memory in schizophrenia: relation to performance and clinical symptoms.,Gruber O et al.
2010 Jan 15,Neuroimage,A multimodal brain imaging study of repetition suppression in the human visual cortex.,Parkes LM et al.
2010 Jan 15,Neuroimage,Vision and visual cortical maps in mice with a photoreceptor synaptopathy: reduced but robust visual capabilities in the absence of synaptic ribbons.,Löwel S et al.
2009 Nov 17,Curr Biol,Preperceptual and stimulus-selective enhancement of low-level human visual cortex excitability by sounds.,Thut G et al.
2009 Dec,Clin Neurophysiol,Influence of white matter anisotropic conductivity on EEG source localization: comparison to fMRI in human primary visual cortex.,He B et al.
2009 Aug,Percept Mot Skills,Selective attention to spatial frequency gratings affects visual processing as early as 60 msec. poststimulus.,Proverbio AM et al.
2010 May,Hum Brain Mapp,Enhanced effectiveness in visuo-haptic object-selective brain regions with increasing stimulus salience.,James TW et al.
2010 Jan,Neurosurg Rev,Hypersexuality from resection of left occipital arteriovenous malformation.,Zhao J et al.
2009 Jul 24,Cases J,Persistent hypoglossal artery detected incidentally in a hypertensive patient with intracerebral hemorrhage: a case report and review of the literature.,Fransen H et al.
2009 Oct 14,J Neurosci,Direction-specific disruption of subcortical visual behavior and receptive fields in mice lacking the beta2 subunit of nicotinic acetylcholine receptor.,Cang J et al.
2009 Dec,J Neurophysiol,The role of temporal synchrony as a binding cue for visual persistence in early visual areas: an fMRI study.,Vilis T et al.
2009 Oct 27,Proc Natl Acad Sci U S A,Spatiotemporal precision and hemodynamic mechanism of optical point spreads in alert primates.,Das A et al.
2009 Oct,Neuroscientist,The noninvasive dissection of the human visual cortex: using FMRI and TMS to study the organization of the visual brain.,Morland AB et al.
2010 Jan 13,Neuroscience,Experience-dependent changes in human brain activation during contingency learning.,Ortu D et al.
2008 Sep,J Neuropsychol,"Face processing in different brain areas, and critical band masking.",Rolls ET et al.
2010,Soc Neurosci,Training of affect recognition in schizophrenia: Neurobiological correlates.,Schneider F et al.
2009,J Trauma Dissociation,Convergent paradigms for visual neuroscience and dissociative identity disorder.,Manning RL et al.
2010 Jan,Neurosci Res,The OFF-pathway dominance of P2X(2)-purinoceptors is formed without visual experience.,Shimoda Y et al.
2010 Feb 22,Vision Res,Attention directed by expectations enhances receptive fields in cortical area MT.,Bearl DW et al.
2010 Apr,Epilepsia,Group-specific regional white matter abnormality revealed in diffusion tensor imaging of medial temporal lobe epilepsy without hippocampal sclerosis.,Yang DW et al.
2009,Perception,Shape processing area LO and illusory contours.,Milner AD et al.
2009 Sep,Ann Acad Med Singap,Residual neurovascular function and retinotopy in a case of hemianopia.,Golay X et al.
2010 Sep,Brain Dev,Characteristics of the synchronous occipital and frontopolar spike phenomenon in Panayiotopoulos syndrome.,Ohtsuka Y et al.
2010 Jan 15,Neuroimage,A comparison of fMRI adaptation and multivariate pattern classification analysis in visual cortex.,Peirce JW et al.
2009,Spat Vis,Coupling the world with the observer: from analysis of information to active vision.,Boccignone G et al.
2009 Oct 7,J Neurosci,Disruption of functional connectivity in clinically normal older adults harboring amyloid burden.,Buckner RL et al.
2009 Dec,J Neurophysiol,Laminar and orientation-dependent characteristics of spatial nonlinearities: implications for the computational architecture of visual cortex.,Purpura KP et al.
